,title,singer,lyrics
120,바람이 부네요,이소라,"바람이 부네요
춥진 않은가요
밤 깊어 문득
그대 얼굴이 떠올라

가슴 뛴 그대 미소
떨리던 그 목소리
많은 상처에 얼어붙은
내 마음 감쌌던

산다는 건 신비한 축복
분명한 이유가 있어
세상엔 필요 없는
사람은 없어 모두

마음을 열어요
그리고 마주 봐요
처음 태어난 이 별에서
사는 우리 손잡아요

산다는 건 신비한 축복
분명한 이유가 있어
세상엔 필요 없는
사람은 없어 모두

마음을 열어요
그리고 마주 봐요
처음 태어난 이 별에서
사는 우리 손잡아요
처음 태어나 이 별에서
사는 우리 손잡아요"
121,It's Gonna Be Rolling (Feat. 박효신),이소라,"뭐라도 말할게 있는 것처럼 불러 놓고 
2분도 못 참고 일어서서 나가고 말걸 왜 더 
*안아주기를 대뜸 원한 것도 너 
잊어주기를 대뜸 말한 것도 너 
It’s gonna be rolling 
It’s gonna be rolling 
It’s gonna be rolling 
사랑이 이리 힘든지 두고 볼 일 
It’s gonna be rolling 
이젠 다 온 것 같아 

졌어 나는 됐어 이게 다라면 뭐라겠어 
너무 많이 됐건 조금 됐건 시간이 됐다 믿어 
* 

이번 일 어떤지 모르는걸 
괜히 내 마음 너에게 뺏겼나 
아냐 난 아냐 난 
**"
122,별,이소라,"먼 하늘 별빛처럼 고요히 시간 속에서 빛나는 너 
오늘도 말 한마디 못한 채 안녕 혼자서 되뇌인다 
나 아무리 원해도 넌 도무지 닿을 수 없어 
갈수록 멀어지는 알 수 없는 나의 별 

움켜진 틈 사이로 흐르는 너는 모래처럼 스르르
바슬거리는 이 마음은 마른 잎 되어 구른다 
나 이렇게 너를 원해도 너에게 닿을 수 없어 
갈수록 멀어지는 알 수 없는 나의 별 

오늘도 말 한마디 못한 채 니 옆에 떠 있는 날 기억해 
가늘게 솟아오른 눈썹달 이렇게 여윈 나를 기억해"
123,믿음,이소라,"힘든가요 내가 짐이 됐나요 음 마음을 보여줘요
안 된대도 아무 상관없어요 내 마음만 알아줘요
다른 사람 친한 그댈 미워하는 
나의 사랑이 모자랐나요 늘 생각해요 

이것만 기억해요 우리가 헤어지면 
다시는 이런 사랑 또 없을 테니
내게 힘이 돼 줘요 난 기다려요
그대 난 영원해요

우는 내가 많이 지겨웠나요 음 그래요 이해해요
많은 밤이 지나 그대 후회되면
다시 내게로 돌아올 테니 다 괜찮아요

이것만 기억해요 우리가 헤어지면
다시는 이런 사랑 또 없을 테니 
내게 힘이 돼 줘요 난 기다려요 
그댈 난 원해 그댈 사랑해 그대 난 영원해요 

이것만 기억해요 우리가 헤어지면
다시는 이런 사랑 또 없을 테니 
내게 힘이 돼 줘요 난 기다려요 
그대 난 영원해요"
124,Amen,이소라,"수많은 밤을 남 모르게 별을 헤며 날 위로해 
강해지길 기도하고 지나간 이별로 울기도해 
날 떠난 그댄 잘 있는지 
다가올 만남을 빌기도 해 
*끝이 없는 미련들 소리없는 바람들 
나의 어둠 속에 빛 되도록 
날이 가기 전에 별이 지기 전에 
나의 방황을 나의 가난을 
별에 기도해 다 잊기로 해 
나의 욕망을 나의 절망을 
다 잊기로 해 나를 믿기로 해 (아멘) 

첫 별이 뜨면 난 어느새 새로운 시작을 기도해 
* 
나의 평안을 나의 사랑을 별에 기도해 
날 믿기로 해 아멘"
125,Tears,이소라,"좁고 어둔 방 거울 속에 나 
그늘진 얼굴 참 못생겼어 

이렇게 못나 혼자 남아 
아직도 너를 그리워해 
이렇게 나만 서럽게 남아 
반기지 않는 전화를 해 

화를 내도 그게 좋아 나를 울려도 돼 그래 
너의 관심을 다 내게로 돌려줘 
아무 말이라도 좋아 나를 비웃어도 좋아 
너에게만 그래 오 나의 그대 

동굴 같은 방 먼지 같은 나 

이렇게 못난 나 혼자 남아 
오늘도 먼저 그리워해 
이렇게 나만 서럽게 남아 
다시 또 먼저 전화를 해 

화를 내도 그게 좋아 나를 울려도 돼 그래 
너의 관심을 다 내게로 돌려줘 
아무 말이라도 좋아 나를 비웃어도 좋아 
너에게만 그래 오 나의 그대 

거울 속에 나 
참 못생겼어"
126,난 별,이소라,"작사: 이소라 / 작곡: 정지찬

모든 일의 처음에 시작된 정직한 마음을 잃어갈 때 
포기했던 일들을 신념으로 날 세울 때 
별처럼 저 별처럼 

삶과 죽음의 답없는 끝없는 질문에 휩싸인 채 또 
아무것도 하지 않는 일에 빠져 혼자 괴로울 때조차 
별처럼 저 별처럼 

난 별 넌 별 먼 별 빛나는 별 

살아가며 하는 서로의 말들 그 오해들 속에 
좀 참아가며 이해해야 하는 시간들 속에 
원하든 원치 않든 나와 다른 많은 사람들 속에 
저 별처럼 

우주의 한 부분으로 살며 믿는 대로 생긴다는 
믿음을 잃지 않았을 때 오는 빛나는 결과들에 감사하며 
별처럼 저 별처럼 
난 별 빛나는 별 

살아가며 하는 서로의 말들 그 오해들 속에 
좀 참아가며 이해해야 하는 시간들 속에 
원하든 원치 않든 나와 다른 많은 사람들 속에 사는 별처럼 

나 너 지금 이곳 다시 
별처럼 저 별처럼"
127,운 듯,이소라,"운듯 많이 부은 눈 
고인 눈물 그득 
우는 듯 나인 듯 

한숨 자는 꿈꾸듯 
꼬옥 감은 눈뜰 듯 
자는 듯 아닌 듯 
넌 

너는 내 온 맘을 가져가 
처음부터 잊혀지네 
거룩해 
울게 해 
날 울게 

모든 숨 
다 멈추면 
불태우고 
묻혀지네 
거룩해 
날 울게 해"
128,슬픔 속에 그댈 지워야만 해 (이현우),이소라,"창가에 불어오는 가을바람은 
텅 빈 마음을 스쳐 가는데 
차가워진 벽에 기대어 
멀리 밝아오는 새벽하늘 바라보아요
보고 싶지만 가까이 갈 수 없어 
이젠 그대 곁을 떠나가야 해 
외로웠었던 내 메마른 그 두 눈에
크고 따뜻한 사랑을 주었던
그대 곁을 이제 떠나는 것을 
후회할지도 모르지만
그댈 사랑하기 때문이야 
그대만을 사랑하는 걸 잊을 수는 없지만 
슬픔 속에 그댈 지워야만 해 

눈부신 햇살 아래 많은 사람들은 
웃음 지으며 걷고 있지만 
차갑게만 느껴지는 가을 하늘처럼 
온 세상이 낯설게 보여
사랑하지만 떠날 수밖에 없어
지금 이 순간이 너무 힘들어
어두웠지만 나는 알 수 있었어 
그대 눈가에 흐르는 눈물을
난 그대에게 상처만을 주지만 
언젠간 내 마음을 이해할 수 있겠지
그대 곁을 이제 떠나는 것을 
후회할지도 모르지만 
그댈 사랑하기 때문이야 
그대만을 사랑하는 걸 잊을 수는 없지만 
슬픔 속에 그댈 지워야만 해
사랑하는 그대여 안녕"
129,너에게로 또 다시,이소라,"그 얼마나 오랜 시간을 짙은 어둠에서 서성거렸나 
내 마음을 닫아 둔 채로 헤매이다 흘러간 시간
잊고 싶던 많은 일들은 때론 잊은듯이 생각됐지만 
고개 저어도 떠오르는건 나를 보던 젖은 그 얼굴 
아무런 말 없이 떠나버려도 때로는 모진말로 멍들이며 울려도
내 깊은 방황을 변함 없이 따뜻한 눈으로 지켜보던 너 
너에게로 또 다시 돌아오기까지가 왜 이리 힘들었을까 
이제 나는 알았어 내가 죽는 날까지 널 떠날수 없다는걸
 
아무런 말 없이 떠나버려도 때로는 모진말로 멍들이며 울려도 
내 깊은 방황을 변함 없이 따뜻한 눈으로 지켜보던 너 
너에게로 또 다시 돌아오기까지가 왜 이리 힘들었을까 
이제 나는 알았어 내가 죽는 날까지 널 떠날수 없다는걸
너에게로 또 다시 돌아오기까지가 왜 이리 힘들었을까 
이제 나는 알았어 내가 죽는 날까지 널 떠날수 없다는걸"
130,안녕,이소라,"나를 슬프게 하지 마
너는 내 맘 속에 있어
나 없는 데로 떠나가줘

나를 아프게 하지 마
너는 날 울리고 있어
너의 이름을 잊어버리게 기억을 빼앗아줘

너를 위해 울던 시간도
되돌릴 수 없는 네 마음도
바보 같은 나도 다 이해해

다시 올 수 없는 그 날을
마지막 눈물로 지우며 

나를 아프게 하지 마
너는 날 울리고 있어
너의 이름을 잊어버리게 기억을 빼앗아줘

너를 위해 울던 시간도
되돌릴 수 없는 네 마음도
바보 같은 나도 다 이해해

다시 올 수 없는 그 날을
마지막 눈물로 지우며 
사랑했던 너와 이제는 안녕"
131,그대와 춤을,이소라,"분홍색 뺨 사랑에 물든 얼굴로 
그대 앞에 서 있어 나를 감출 수 없어 
첫눈에 날 반하게 했던 미소로 
그댄 웃고 서 있어 나는 놓칠 수 없어 
더 늦기 전 그대와 춤을 난 춤을 출까봐 
그럴까봐 
*깊은 밤 하늘 달빛으로 우릴 비춰주네 
휘황하게 
춤을 추며 그대 손을 잡고 나를 안아주네 
황홀하게 

떨리는 마음 두근거림 오~ 난 그댈 원하고 있어 
이젠 멈출 수 없어 
빠져들듯 까만 두눈 그대는 달아오르고 있어 
나는 알 수가 있어 
더 늦기 전 그대와 춤을 난 춤을 출까봐 
그럴까봐 
* 
떨리는 마음 두근거림으로 난 그댈 원하고 사랑해 
그대와 춤을 그대는 춤을 추며 나를 안아주네 
황홀하게 바라보네 부드럽게 kiss.."
132,첫사랑,이소라,"파랗게 비가 개인 날
하늘색 예쁜 구둘 신고
가볍게 나풀대며 그 집 앞을 찾아가


첫사랑 니가 사는 곳 좁고 긴 작은 골목길 안
하얀색깔 담 그 위에 내 마음을 적어봐

난 그냥 네가 좋아 날 모른대도 좋아
언젠가는 알아줘

나 널 원하는 사람 나야 나 널 다 아는 사람
기막혀 얼굴 붉혀 하지마 그래도 너만 바라봐

반갑게 문을 여는 너
담장에 까만 글씰 보며
수줍은듯 어색하게 웃고만 있었어
난 그런 네가 좋아 잘 웃는 네가 좋아
이것만은 알아줘


나 널 원하는 사람
나야 나 널 다 아는 사람
기막혀 얼굴 붉혀 하지마
그래도 너만 바라봐 그게 나야



작.편곡 Sweetpea
chorus Sweetpea"
133,No.1 (보아),이소라,"어둠속에 니 얼굴 보다가 나도 몰래 울었어 
소리 없이 날 따라오며 비춘건 
Finally 너 였어 
처음 내 사랑 비춰 준 넌 
이별도 본거야 
You're still my No.1 
날 찾지 말아줘 나의 슬픔 가려줘 
구름 뒤에 너를 숨겨 빛을 닫아줘 
그를 아는 이 길이 내 눈물 모르게 
변한 그를 욕하진 말아줘 니 얼굴도 변하니까 
But I miss you 널 잊을수 있을까 
사랑도 지난 추억도 모두 다 사라져 가 
You're still my No.1 
보름이 지나면 작아지는 슬픈 빛 
날 대신해서 그의 길을 배웅 해줄래 
못 다 전한 내 사랑 나처럼 비춰줘 
가끔 잠든 나의 창에 찾아와 그의 안불 전해 줄래 
나 꿈결 속에서 따뜻한 그의 손 느낄수 있도록 
 
하지만 오늘 밤 날 찾지 말아줘 나의 슬픔 가려줘 
구름뒤에 너를 숨겨 빛을 닫아줘 
그를 아는 이 길이 내 눈물 모르게 
보름이 지나면 작아지는 슬픈 빛 
날 대신해서 그의 길을 배웅 해줄래 
못 다 전한 내 사랑 
You're still my No.1
 
어둠속에 니 얼굴 보다가"
134,너무 다른 널 보면서,이소라,"나 영원할 거라고 생각했던 
그 믿음조차 무색한 것은
누구의 탓도 아니겠지만 
늘 모든 건 변한다고 하지만
나 여기 이대로 서 있는걸 
이제 너무 다른 널 보면서

나 미처 몰랐던 널 알게 된 거라 
생각하면서 너에게 다가가도 
너를 닮아가는 건 나를 잃을 뿐인데
그냥 여기서 널 기다릴게

나 미처 몰랐던 널 알게 된 거라 
생각하면서 너에게 다가가도 
너를 닮아가는 건 나를 잃을 뿐인데
그냥 여기서 널 기다릴게

이제 너무 다른 널 보면서"
135,사랑이야 (송창식),이소라,"당신은 누구시길래 이렇게 내 마음 깊은 거기에 찾아와
어느새 촛불하나 이렇게 밝혀 놓으셨나요
어느 별 어느 하늘이 이렇게 당신이 피워놓으신 불처럼
밤이면 밤마다 이렇게 타오를 수있나요
언젠가 어느 곳에선가 한번은 본듯한 얼굴
가슴 속에 항상 혼자 그려보던 그 모습
단 한번 눈길에 부서진 내 영혼 사랑이야 사랑이야  음~
 
당신은 누구시길래 이렇게 내 마음 깊은 거기에 찾아와
어느새 시냇물 하나 이렇게 흘려 놓으셨나요
어느 빛 어느 바람이 이렇게 당신이 흘려놓으신 물처럼
조용히 속삭이듯 이렇게 영원할수 있나요
언젠가 어느 곳에선가 한번은 올것 같던 순간
가슴 속에 항상 혼자 예감하던 그 순간
단 한번 미소에 터져버린 내 영혼 사랑이야 사랑이야
언젠가 어느 곳에선가 한번은 올것 같던 순간
가슴 속에 항상 혼자 예감하던 그 순간
단 한번 미소에 터져버린 내 영혼 사랑이야 사랑이야  음~"
136,쓸쓸,이소라,"불을 끄고 눈을 감으면
어둠보다 더한 어둠이 나를 감아
처량하게 돌아 누우면
슬픔보다 더한 슬픔이 뱅뱅뱅 돌아
나를 감아 막연한 나를 감아
그리워

말도 없고 생각도 없고
잠은 가고 터널 속 같은 답답한 숨만
나를 감아 막연한 나를 감아
그리워 내게 다가올 너를 얼굴도 없는 그대
너무 그리워

나를 감아 막연한 나를 감아
불안한 나를 감아
막연한 나를 감아 

너무 그리워
너무 그리워"
137,그대가 이렇게 내 맘에,이소라,"그대가 이렇게 내 맘에
들어오기 시작하면 안돼요

난 절대로 그대에게 내 맘을
뺏기지 않을거에요 

나 그댈 좋아할수록
나 그댈 의지할수록
잃고 싶지 않은 마음
멀어지고 싶지 않은 마음


나 그댈 좋아할수록
나 그댈 의지할수록
커져가는 나의 맘
멈춰지지않는 나의 맘

어떤 일이 있어도
그댈 향한 내 맘은 절대로
음 절대로

내 맘에 들어온 그대를
내 옆에 두고 살고 있어요

난 절대로 그대를 누구에게
뺏기지 않을거에요"
138,잊지 말기로 해,이소라,"이렇게 차가운 바람이 우릴 스쳐 가고
난 그대의 가슴안에 빗물 되어
이제 다시 볼 수 없는 그대 나를 힘들게 해
지나버린 아름다운 추억만 남아

우리의 만남은 이제 끝나지만 
그대는 영원히 나의 가슴에 남아
이대로 헤어지지만 우리 사랑을
우리 사랑을 잊지 말기로 해

이렇게 이별은 다가와 나를 아프게 해
난 그대의 가슴속에 머물고 싶어
이제 우리 서로의 길을 떠나가야만 해
흔들리는 작은 어깨 두 눈에 흐려져

우리의 만남은 이제 끝나지만 
그대는 영원히 나의 가슴에 남아
이대로 헤어지지만 우리 사랑을
우리 사랑을 우리 사랑을

우리의 만남은 이제 끝나지만 
그대는 영원히 나의 가슴에 남아
이대로 헤어지지만 우리 사랑을
우리 사랑을 우리 사랑을 우리 사랑을
우리 사랑을 잊지 말기로 해"
139,Rainy Days And Mondays,이소라,"Talkin' to myself and feelin' old
Sometimes I'd like to quit
Nothing ever seems to fit
Hangin' around
Nothing to do but frown
Rainy Days and Mondays always get me down.

What I've got they used to call the blues
Nothin' is really wrong
Feelin' like I don't belong
Walkin' around
Some kind of lonely clown
Rainy Days and Mondays always get me down.

Funny but it seems I always wind up here with you
Nice to know somebody loves me
Funny but it seems that it's the only thing to do
Run and find the one who loves me.

What I feel has come and gone before
No need to talk it out
We know what it's all about
Hangin' around
Nothing to do but frown
Rainy Days and Mondays always get me down. 

Funny but it seems that it's the only thing to do
Run and find the one who loves me.

What I feel has come and gone before
No need to talk it out
We know what it's all about
Hangin' around
Nothing to do but frown
Rainy Days and Mondays always get me down. 

Hangin' around
Nothing to do but frown
Rainy Days and Mondays always get me down♥"
140,데이트,이소라,"휴일 아침에 놀이 공원 푸른 동산 해는 쨍쨍
구불구불 미로를 돌아 신나는 여행을 떠나요

(랄라라 라라리 나나나 랄라라리 라나나
 랄랄라 라라리 나나나 랄랄라 랄랄랄랄)

풍차가 도는 조각 공원 곱게 수놓인 튜울립 꽃
모로코 풍의 궁전 지나 뱅글뱅글 회전 목마들

하늘엔 슁슁 에드벌룬 붕붕 나르는 커피잔
분수대 시원한 오후 지나 까만 밤하늘 불꽃 퓽퓽



작.편곡 Sweetpea"
141,Track 4,이소라,"먼저 위에
더 먼 저기 위에
넌 거기 위에

모른척해
다 잘하고 있을게

그 언젠가 또 이곳에
먼 훗날 꼭 이곳에 와

모두 널 그리워해
사진 속에 널 
부르고 있어

참 너답게
아름다울 때
아름다웁게


*안녕히 이제 
안녕히 지금도 
안녕히 그때 
안녕히 아직도 
안녕히 꿈들도 
안녕히 눈물도 
안녕히 이제 
안녕히 영원히
*

괜찮아 이제 
괜찮아 이제 
괜찮아 이제 
괜찮아 이제 
괜찮아 이제 
괜찮아 영원히"
142,처음 느낌 그대로,이소라,"남다른 길을 가는 내게 넌 아무말하지 않았지
기다림에 지쳐가는 것 다 알고 있어
아직 더 가야 하는 내게 넌 기대할 수도 없겠지
그 마음이 식어가는 것
난 너무 두려워
어제 널 보았을 때 눈돌리던 날 잊어줘
내가 사랑하면 사랑한단 말 대신 차갑게 대하는걸 알잖아
오늘 널 멀리하며 혼자 있는 날 믿어줘 
내가 차마 네게 할 수 없는 말 그건
사랑해 처음 느낌 그대로
처음 느낌 그대로"
143,듄,이소라,"매일 밤마다 같은 꿈이 이어졌어 
어느 공간에 내가 서 있어 
끝난 곳 없이 황량한 사막이었어 
거긴 미래도 현재도 없어 

아무도 무엇도 없는 그곳에 
지나간 기억들을 되돌리는 향기가 있어 
모래 골짜기 틈 사이에 걸린 
차가운 달빛 너울 날아와 날 비추고 있어 

그리고 날 미워했어 
그리고 또 미워했어 너를 
꿈이 깨어갈 즈음엔 세상도 멈췄어 

아무도 무엇도 없는 그곳에 
지나간 기억들을 되돌리는 향기가 있어 
모래 골짜기 틈 사이에 걸린 
차가운 달빛 너울 날아와 
날 비추고 날 울렸어"
144,Midnightblue,이소라,"한참 동안 넌 말이 없었네 
침묵 속에 첫눈이 왔었네 
농담처럼 웅얼거리다 
표정 없이 뒤돌아섰네 

이러면 안 돼 붙잡지만 
너의 마음은 거기 없었네 

한동안 난 말을 잃었네 
모든 말이 다 낯설어졌네 
기억들은 허물어지고 
진심마저 길을 잃었네 

허공에 휘휘 눈보라 치고 
너의 마음은 이미 없었네 

이러면 안 돼 붙잡았지만 
나의 사랑은 힘이 없었네 

한참 동안 넌 말이 없었네 
첫눈이 왔었네"
145,Track 1,이소라,"늘 같은 노래
뭔가 같은 리듬
알것 같은 음들
한결 같은 말
참 노래 많아 으음
좀 다른 노래 으음
내 노래 만은 으음
좀 다른 기분 으음
grey way way 음
좀 틀려도 돼
얼른 같이 해봐
은근 쉬워 해봐
음을 맞춰 now
다 귀를 열어 으음
다 같이 귀를 으음
내 맘의 노래 으음
만드는 기분 으음
grey way way 음
중략
좀 틀려도 돼
얼른 같이 해봐
은근 쉬워 해봐
음을 맞춰 now
we walk on this road yeah~
똑같은 길을
we`re all dreamers yeah~
똑같은 길을
same way way cool
늘 같은 노래
뭔가 같은 리듬
알것 같은 음들
한결 같은 말
we walk on this road yeah~
똑같은 길을
we`re all dreamers yeah~
똑같은 길을
same way way cool"
146,Track 2,이소라,"아주 오래 지난 남자친구가 있긴 해
너무 놓으면 안 되니까 가끔 얼굴만 확인해
서로 아닌 척하지만
차마 이런 말 못하는 것뿐이야

'다들 이러진 않아. 시간 탓하지 마라.
이젠 사랑이 안 된다니 이별이야.'

없어, 설레임은 너무 본 적이 많아서
다시 연애하기엔 그건 미래가 없어서
난 아닌 척하지만
이런저런 말 꾹 참는 것뿐이야

'다들 이러진 않아. 시간 탓하지 마라.
이젠 사랑이 안 된다니 이별이야.'
 
서로 아닌 척하지만 
우리 이제 그만이다 어쨌거나 즐거웠다
차마 이런 말 못하는 것뿐이야

'다들 이러진 않아. 시간 탓하지 마라.
이젠 사랑이 안 된다니 이별이야.'

'다들 이러진 않아. 사랑 탓하지 마라.
매일매일이 이렇다니 우린 남남이야.'"
147,"사라질것들 (Feat. 이소라, Beenzino)","병살 (정준하, 김C)","사라질 것들엔 미련을 갖지 말자
꽃이 그렇듯 시간이라는 것도 그러하겠지
어떻게 될지는 아무도 모르는 거라고 
어떻게 될지는 이미 정해져 있는 거고 우린 모를뿐야

우리들 사이엔 끝이라는 게 있지
상황이란 것 시간이라는 것도 그러하겠지
어떻게 될지는 아무도 모르는 거라고 
어떻게 될지는 이미 정해져 있는 거고 우린 모를뿐야

오늘밤 그 길을 확인하러 가고 싶은 건데
오늘밤 그 길을 함께 걸어가고 싶은 사람

Rap)
어찌됐건 살아지고, 또 결국엔 다 사라져
우린 누군갈 만나기도 하지만, 또 누군가와는 갈라져
my friend, don\'t be afraid, 우린 서툴고 또 미흡해
오늘 밤 막잔을 비울 때쯤엔 자책은 제발 하지 말아줘
누가 알아? 우리가 어떻게 될지, 아무도... 아무도! man...
인생이란 건 창 밖의 날씨 같지, 난 누워서 그저 바라볼래
thunder or rain, or sunrise or wind 
오늘밤 그 길을 나와 함께 가볼래? 

오늘밤 그 길을 확인하러 가고 싶은 건데 (사라질 것들엔 미련을 갖지 말자)
오늘밤 그 길을 함께 걸어가고 싶은 사람 (꽃이 그렇듯 시간이라는 것도 그러하겠지)

오늘밤 그 길을 확인하러 가고 싶은 건데 (어떻게 될지는 아무도 모르는 거라고)
오늘밤 그 길을 함께 걸어가고 싶은 사람 (어떻게 될지는 이미 정해져 있는 거고 우린 모를뿐야)

오늘밤 유난히 빛나고 있는 저 빛을 따라
오늘밤 그 길을 함께 걸어가고 싶은 사람"
148,Track 6,이소라,"하나, 둘, 셋 스르륵 감기는 눈
잠든 내 눈앞에 보이는 곳
단 한 번도 가본 적 없는 곳 그곳은
한없이 불안해 보이는 곳
빈 하늘 무겁게 떠 있는 곳
단 한 번도 변한 적 없는 곳 나 있는 곳

그때 난 아이야
외로운 아이야
힘없는 아이야 매일매일 울고
미칠 것 같아 늘 맞는 나

나야 
외로운 나야
힘없는 나야 나 있는 곳 모두 다 다야

여기 아니 거기 어디든 나 있는 곳 지금
여기 아니 거기 어디든 나 있는 곳 지금
여기 아니 거기 어디든 나

나야 
외로운 나야
힘없는 나야 나 있는 곳 모두 다 다야

여기 아니 거기 어디든 나 있는 곳 지금
여기 아니 거기 어디든 나 있는 곳 지금
여기 아니 거기 어디든 다
어디든 다
어디든 가
어디든 다"
149,행복을 주는 사람,이소라,"내가 가는 길이 험하고 멀지라도 
그대 함께 간다면 좋겠네 

우리 가는 길에 아침 햇살 비치면 
행복하다고 말해 주겠네 

이리 저리 둘러 봐도 제일 좋은 건 
그대와 함께 있는 것

그대 내게 행복을 주는 사람

내가 가는 길이 험하고 멀지라도 
그대 내게 행복을 주는 사람

때론 지루하고 외로운 길이라도 
그대 함께 간다면 좋겠네

때론 즐거움에 웃음 짓는 나날이어서 
행복하다고 말해 주겠네

이리 저리 둘러 봐도 제일 좋은 건 
그대와 함께 있는 것

그대 내게 행복을 주는 사람

내가 가는 길이 험하고 멀지라도 
그대 내게 행복을 주는 사람

그대 내게 행복을 주는 사람

내가 가는 길이 험하고 멀지라도 
그대 내게 행복을 주는 사람

내가 가는 길이 험하고 멀지라도
그대 함께 간다면 좋겠네

내가 가는 길이 험하고 멀지라도 
그대 내게 행복을 주는 사람"
150,잊지 말기로 해 (With 이문세),이소라,"이렇게 차가운 바람이 우리 스쳐가고 
난 그대의 가슴안에 빗물되어
이제다시 볼 수 없는 그대 나를 힘들게 해 
지나버린 아름다운 추억만 남아

우리의 만남은 이제 끝나지만 
그대는 영원히 나의 가슴에 남아
이대로 헤어지지만 우리 사랑을
우리사랑을 잊지 말기로 해

이렇게 이별은 다가와 나를 아프게해
난 그대안의 가슴속에 머물고 싶어
이제 우리 서로의 길을 떠나가야만 해
흔들리는 작은 어깨 두 눈에 흐려져

우리의 만남은 이제 끝나지만 
그대는 영원히 나의 가슴에 남아
이대로 헤어지지만 우리 사랑을
우리사랑을 잊지 말기로 해

우리의 만남은 이제 끝나지만 
그대는 영원히 나의 가슴에 남아
이대로 헤어지지만 우리 사랑을
우리사랑을 잊지 말기로 해"
151,그대와 영원히,이소라,"헝클어진 머리결 이젠 빗어봐도 말을 듣지않고
초점없는 눈동자 이젠 보려해도 볼 수가 없지만
감은 두눈 나 만을 바라보며 마음과 마음을 열고
따스한 손길 쓸쓸한 내 어깨 위에 포근한 안식을 주네

저 붉은 바다 해 끝까지 그대와 함께 가리
이 세상이 변한다 해도 나의 사랑 그대와 영원히

무뎌진 내 머리에 이제 어느 하나 느껴지질 않고
메마른 내입술엔 이젠 아무말도 할수가 없지만
맑은 음성 가만히 귀 기울여 행복의 소리를 듣고
고운 미소 쇠잔한 내 가슴속에 영원토록 남으리

저 붉은 바다 해 끝까지 그대와 함께 가리
이 세상이 변한다 해도 나의 사랑 그대와 영원히"
152,나의하루,이소라,"나 오늘도 그댈 맴돌았죠
어제보다 표정이 좋아요 
오랜만에 보는 웃는 모습이 
훨씬 그대에게는 어울리는걸 
어제 그대 집으로 가는 길
왜 그리 지쳐 보였었나요
하마터면 그댈 부를 뻔했죠 
마침 목이 메어와 소리 낼수 없어
기억하나요 이별한 날
냉정했던 내 어설픈 모습을
그렇지만 나 내내 그리워만 하다
이젠 그대를 매일 찾아가는걸
조금 더 가까이 보고 싶어 
그대의 따뜻한 두 눈을 바라볼수 있게 
언젠가 내가 지쳐버리면 
남는건 기억속의 그대뿐
내겐 잊는것보다 그댈 간직하는게 
조금 더 쉬울것 같아요 
 
이젠 하루가 짧아졌죠 
하염없이 바라만 보다 보면 
나의 하루는 빠르게 저물어가고 
오늘 본 그대 떠올리며 잠들죠 
조금 더 가까이 보고 싶어
그대의 따뜻한 두 눈을 바라볼수 있게
언젠가 내가 지쳐버리면
남는건 기억속의 그대뿐
내겐 잊는것보다 그댈 간직하는게
조금 더 쉬울것 같아요"
153,Alone Again,이소라,"In a little while from now
If I'm not feeling any less sour
I promise myself to treat myself
And visit a nearby tower
And climbing to the top will throw myself off
In an effort to make it clear to who
Ever what it's like when you're shattered
Left standing in the lurch at a church
Where people saying: ""My God, that's tough
She's stood him up""
No point in us remaining
We may as well go home
As I did on my own
Alone again, naturally

To think that only yesterday
I was cheerful, bright and gay
Looking forward to well wouldn't do
The role I was about to play
But as if to knock me down
Reality came around
And without so much, as a mere touch
Cut me into little pieces
Leaving me to doubt
Talk about God and His mercy
Or if He really does exist
Why did He desert me in my hour of need
I truly am indeed Alone again, naturally

It seems to me that there are more hearts
broken in the world that can't be mended
Left unattended
What do we do? What do we do?

Alone again, naturally
Now looking back over the years
And whatever else that appears
I remember I cried when my father died
Never wishing to hide the tears
And at sixty-five years old
My mother, God rest her soul,
Couldn't understand why the only man
She had ever loved had been taken
Leaving her to start with a heart so badly broken
Despite encouragement from me
No words were ever spoken
And when she passed away
I cried and cried all day
Alone again, naturally
Alone again, naturally"
154,아로새기다,이소라,"눈을 뜨면 먹고 마셨지 외로웠기에 
후회가 되면 기도를 했지 두려웠기에 
그러고 나면 다시 새롭지 모두 잊고 길을 떠날 때 
허전한 목에 나를 두르네 
핑크빛 스카프 

첫번째 너도 두번째 너도 떠나갔기에 
슬픈 이별도 아플 것 없지 지나갔기에 
그러면 되지 다시 새롭지 나를 찾아 길을 떠날 때 
서늘한 목에 나를 두르네 
핑크빛 스카프 

그대가 누굴 만나고 있던 나를 잊게 하기 싫었어 
그래 오늘도 나는 나를 두르네 
핑크빛 스카프"
155,Track 5,이소라,"해 질 무렵 하늘 봐 
그 위로 흐르는 밤
푸르짙어 
별그물 설킨 어둔강

까만 밤 빛나는 별 
내 눈에는 그렁별
울다 기뻐 웃다 슬퍼 
마음이 지어준 낱말들

그 이름이 고운 사람들
김광석이나 Byron, Elliott Smith, 윤동주...

난 새롭거나 모나지 않은 말 주워
좀 외롭거나 생각이 많은 날 누워
내 음을 실어 내 말을 빌어서 부른다

음 차가운 말 
음 살가운 말 
음 따가운 말 
음 반가운 말

다 외로운 말 
다 외로운 말 
다 외로운 말 
다 외로운 말 

말 말 말 말"
